City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kapaa,22.08,-159.32,80.6,74,20,5.82,US,1603311817
1,New Norfolk,-42.78,147.06,50.0,85,93,2.26,AU,1603311807
2,Lieksa,63.32,30.02,32.83,96,100,14.14,FI,1603312186
3,Ushuaia,-54.8,-68.3,55.4,43,75,5.82,AR,1603311680
4,Punta Arenas,-53.15,-70.92,48.2,49,90,6.93,CL,1603311807
5,Yei,4.09,30.68,67.39,94,99,2.71,SS,1603312186
6,Nikolskoye,59.7,30.79,37.4,93,90,6.71,RU,1603311813
7,Petropavlovsk-Kamchatskiy,53.05,158.65,35.6,47,0,11.18,RU,1603311820
8,Egvekinot,66.32,-179.17,32.07,100,75,7.63,RU,1603311870
9,Husavik,66.04,-17.34,32.0,80,89,2.24,IS,1603312186
10,Fortuna,40.6,-124.16,64.0,77,1,14.99,US,1603311845
11,Rikitea,-23.12,-134.97,73.81,68,24,8.9,PF,1603311807
12,Newport,51.59,-3.0,57.0,98,100,1.99,GB,1603312186
13,Atuona,-9.8,-139.03,77.47,70,0,16.96,PF,1603311811
14,Busselton,-33.65,115.33,50.0,73,2,10.89,AU,1603311808
15,Pizarro,4.95,-77.37,79.72,85,99,10.6,CO,1603312187
16,Geraldton,-28.77,114.6,53.6,87,0,3.36,AU,1603311834
17,Kayes,14.0,-11.0,85.91,19,50,3.76,ML,1603312187
18,Butaritari,3.07,172.79,82.27,72,19,9.78,KI,1603311807
19,Te Anau,-45.42,167.72,43.79,78,64,1.92,NZ,1603311834
20,Bilibino,68.05,166.44,21.74,96,90,1.36,RU,1603311861
21,Tokur,53.13,132.9,29.37,98,46,2.68,RU,1603312187
22,Dicabisagan,17.08,122.42,79.61,83,100,12.95,PH,1603312187
23,Ponta do Sol,32.67,-17.1,64.4,68,40,3.36,PT,1603311832
24,Khatanga,71.97,102.5,4.15,92,0,7.07,RU,1603312127
25,Banepā,27.63,85.52,62.6,93,20,2.24,NP,1603312188
26,Port Elizabeth,-33.92,25.57,62.6,93,0,5.82,ZA,1603312139
27,Ribeira Grande,38.52,-28.7,64.4,55,75,4.7,PT,1603311818
28,Saint-Joseph,-21.37,55.62,73.4,73,20,16.11,RE,1603312188
29,Brae,60.4,-1.35,46.4,87,97,29.97,GB,1603312188
30,Rocha,-34.48,-54.33,60.37,64,92,14.79,UY,1603311846
31,Shaunavon,49.65,-108.42,23.7,95,100,11.34,CA,1603311829
32,Longyearbyen,78.22,15.64,19.4,79,20,8.05,SJ,1603311836
33,Ovsyanka,55.96,92.55,48.2,49,100,13.42,RU,1603312189
34,Saskylakh,71.92,114.08,7.92,94,91,4.25,RU,1603311769
35,Bredasdorp,-34.53,20.04,57.2,87,0,2.24,ZA,1603311807
36,Upernavik,72.79,-56.15,26.92,95,100,7.02,GL,1603311823
37,Tuktoyaktuk,69.45,-133.04,23.0,85,75,11.41,CA,1603311847
38,Hermanus,-34.42,19.23,51.01,92,0,6.08,ZA,1603311816
39,Broome,42.25,-75.83,75.0,60,40,11.41,US,1603311813
40,Alvarães,-3.22,-64.8,73.4,94,90,6.93,BR,1603312189
